Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRG01,OUT046,2180.817168870588
FDN46,OUT018,2180.817168870588
NCJ29,OUT035,2180.817168870588
FDF22,OUT013,2180.817168870588
FDF53,OUT046,2180.817168870588
FDH31,OUT035,2180.817168870588
FDN58,OUT035,2180.817168870588
FDX15,OUT049,2180.817168870588
FDU24,OUT046,2180.817168870588
FDO51,OUT018,2180.817168870588
FDE46,OUT046,2180.817168870588
NCT05,OUT018,2180.817168870588
FDX20,OUT049,2180.817168870588
FDU57,OUT046,2180.817168870588
FDZ58,OUT049,2180.817168870588
FDY01,OUT035,2180.817168870588
FDC08,OUT046,2180.817168870588
FDP57,OUT035,2180.817168870588
FDJ32,OUT046,2180.817168870588
NCP29,OUT035,2180.817168870588
FDV52,OUT049,2180.817168870588
FDG33,OUT035,2180.817168870588
FDS34,OUT035,2180.817168870588
