,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
8500,DRG01,OUT046,1216.7892590121537
8501,FDN46,OUT018,1637.3617337419437
8502,NCJ29,OUT035,1355.1738700975745
8503,FDF22,OUT013,3588.2463518586856
8504,FDF53,OUT046,2910.759937273941
8505,FDH31,OUT035,1574.9785002528024
8506,FDN58,OUT035,3880.817127504135
8507,FDX15,OUT049,2578.945660603181
8508,FDU24,OUT046,1497.906869727764
8509,FDO51,OUT018,641.7397809816093
8510,FDE46,OUT046,2512.1289420511866
8511,NCT05,OUT018,3789.8024705553507
8512,FDX20,OUT049,3790.05885502897
8513,FDU57,OUT046,2454.606247509748
8514,FDZ58,OUT049,2019.1438500043262
8515,FDY01,OUT035,1919.4605472495439
8516,FDC08,OUT046,3700.8337495501323
8517,FDP57,OUT035,1645.4213077060967
8518,FDJ32,OUT046,1071.3215124379349
8519,NCP29,OUT035,1058.6465115242647
8520,FDV52,OUT049,2019.341780284141
8521,FDG33,OUT035,2837.42325640147
8522,FDS34,OUT035,1914.6139197210423
